nr,lat_orig,lon_orig,hell_orig,rdx_orig,rdy_orig,nap_orig,lat_calc,lon_calc,hell_calc,rdx_calc,rdy_calc,nap_calc,lat_diff,lon_diff,hell_diff,rdx_diff,rdy_diff,nap_diff
30018426,56.968562203,6.905979675,238.4968,247524.9609,1000070.2688,inf,inf,inf,inf,247488.0623,999896.0053,238.4968,-inf,-inf,-inf,36.8986,174.2635,inf
30018427,54.298937439,0.705710693,119.3163,-149711.4980,711565.3235,inf,inf,inf,inf,-149701.1327,711428.5214,119.3163,-inf,-inf,-inf,-10.3653,136.8021,inf
30018428,49.535374332,0.952934480,313.6096,-165980.9150,181173.5503,inf,inf,inf,inf,-165972.9727,181099.0335,313.6096,-inf,-inf,-inf,-7.9423,74.5168,inf
30018429,50.984861412,-2.159620358,276.3387,-374304.7328,360147.0728,inf,inf,inf,inf,-374269.3142,360053.1720,276.3387,-inf,-inf,-inf,-35.4186,93.9008,inf
30018430,55.475623331,7.431412481,170.0837,284348.0854,834504.7923,129.2986,55.477001859,7.432160494,129.2986,284305.1948,834349.9043,170.0837,-0.001378528,-0.000748013,40.7851,42.8906,154.8880,-40.7851
30018431,51.091885849,8.568582099,294.3211,377835.2486,349557.6613,inf,inf,inf,inf,377776.6807,349459.1140,294.3211,-inf,-inf,-inf,58.5679,98.5473,inf
30018432,56.829062145,-0.391195186,66.2584,-198032.8365,998025.6988,inf,inf,inf,inf,-198013.9954,997855.2878,66.2584,-inf,-inf,-inf,-18.8411,170.4110,inf
30018433,55.430443271,0.570390645,39.8950,-149989.4448,837961.5783,inf,inf,inf,inf,-149977.9735,837809.8202,39.8950,-inf,-inf,-inf,-11.4713,151.7581,inf
30018434,51.915586464,-1.759983583,34.4054,-336184.0287,460527.5802,inf,inf,inf,inf,-336152.5118,460421.6716,34.4054,-inf,-inf,-inf,-31.5169,105.9086,inf
30018435,51.485987493,8.926595186,29.4147,400772.4296,394519.5615,inf,inf,inf,inf,400711.3604,394415.5457,29.4147,-inf,-inf,-inf,61.0692,104.0158,inf
30018436,55.351977023,-2.367476199,32.7480,-336522.6623,845741.9448,inf,inf,inf,inf,-336487.8193,845590.6416,32.7480,-inf,-inf,-inf,-34.8430,151.3032,inf
30018437,54.726827328,4.967194384,8.0521,127927.8908,749312.9882,-32.5394,54.728116965,4.967554106,-32.5394,127903.8623,749169.5239,8.0521,-0.001289637,-0.000359722,40.5915,24.0285,143.4643,-40.5915
30018438,48.760729008,6.756541494,314.2767,255752.3283,86262.0757,inf,inf,inf,inf,255706.8719,86195.2666,314.2767,-inf,-inf,-inf,45.4564,66.8091,inf
30018439,57.496385979,0.051761372,96.7960,-165350.1033,1070174.3369,inf,inf,inf,inf,-165334.7324,1069995.0779,96.7960,-inf,-inf,-inf,-15.3709,179.2590,inf
30018440,49.505803816,7.048092326,218.4487,275342.2187,169597.9054,inf,inf,inf,inf,275294.9924,169521.2462,218.4487,-inf,-inf,-inf,47.2263,76.6592,inf
30018441,52.719296178,-1.816546748,135.4408,-331171.3317,550026.4403,inf,inf,inf,inf,-331139.6803,549909.9947,135.4408,-inf,-inf,-inf,-31.6514,116.4456,inf
30018442,56.684473375,4.221188152,252.0616,83436.3941,967977.6697,inf,inf,inf,inf,83419.7680,967808.6142,252.0616,-inf,-inf,-inf,16.6261,169.0555,inf
30018443,49.545058376,4.538987892,240.5130,93589.8461,172965.1592,inf,inf,inf,inf,93565.3367,172889.6081,240.5130,-inf,-inf,-inf,24.5094,75.5511,inf
30018444,48.683528863,5.536093436,218.6637,165973.3445,76752.0335,inf,inf,inf,inf,165939.0154,76687.0729,218.6637,-inf,-inf,-inf,34.3291,64.9606,inf
30018445,53.713493468,1.404189042,128.9925,-107908.3505,643707.8624,inf,inf,inf,inf,-107903.7812,643578.7511,128.9925,-inf,-inf,-inf,-4.5693,129.1113,inf
30018446,56.866749692,-0.248532322,278.8682,-188994.0704,1001511.1230,inf,inf,inf,inf,-188976.3296,1001340.2285,278.8682,-inf,-inf,-inf,-17.7408,170.8945,inf
30018447,55.283155824,-1.998060885,213.4556,-313968.4279,835605.4536,inf,inf,inf,inf,-313936.4884,835455.1895,213.4556,-inf,-inf,-inf,-31.9395,150.2641,inf
30018448,54.834098476,1.560815519,230.1095,-90902.4551,767783.7246,inf,inf,inf,inf,-90898.9641,767639.8257,230.1095,-inf,-inf,-inf,-3.4910,143.8989,inf
30018449,53.180896834,0.010589243,297.0726,-204220.7171,590546.8479,inf,inf,inf,inf,-204204.5669,590424.7225,297.0726,-inf,-inf,-inf,-16.1502,122.1254,inf
30018450,51.447145475,-1.954218286,316.8040,-354759.6311,409928.4378,inf,inf,inf,inf,-354726.2270,409828.5829,316.8040,-inf,-inf,-inf,-33.4041,99.8549,inf
30018451,49.114328846,-1.127362142,26.8306,-320474.4266,145611.0765,inf,inf,inf,inf,-320447.5258,145541.7878,26.8306,-inf,-inf,-inf,-26.9008,69.2887,inf
30018452,55.452062087,5.070697191,8.9475,134958.3025,830060.6695,-32.3415,55.453437274,5.071069155,-32.3415,134934.0698,829907.5790,8.9475,-0.001375187,-0.000371964,41.2890,24.2327,153.0905,-41.2890
30018453,55.297046402,7.629865031,121.2721,297530.8778,814996.3828,80.2516,55.298403630,7.630643795,80.2516,297486.1752,814843.6948,121.2721,-0.001357228,-0.000778764,41.0205,44.7026,152.6880,-41.0205
30018454,49.595533131,6.920912493,67.1292,265920.8356,179381.1945,inf,inf,inf,inf,265874.8650,179303.4767,67.1292,-inf,-inf,-inf,45.9706,77.7178,inf
30018455,54.145044595,8.678968105,1.2388,370099.2874,689400.5056,inf,inf,inf,inf,370044.4656,689262.0524,1.2388,-inf,-inf,-inf,54.8218,138.4532,inf
30018456,48.560334453,-2.755110211,122.3753,-445759.2704,95971.6084,inf,inf,inf,inf,-445717.1870,95908.9157,122.3753,-inf,-inf,-inf,-42.0834,62.6927,inf
30018457,57.140683425,-0.580708012,273.5967,-206637.8556,1033660.0477,inf,inf,inf,inf,-206617.6338,1033485.4569,273.5967,-inf,-inf,-inf,-20.2218,174.5908,inf
30018458,48.751027981,8.063051817,53.6771,351899.3078,87801.4050,inf,inf,inf,inf,351841.8625,87733.5949,53.6771,-inf,-inf,-inf,57.4453,67.8101,inf
30018459,55.503606647,2.050524250,184.1802,-55949.5925,840720.5720,140.8665,55.504976523,2.050414776,140.8665,-55949.8551,840567.7599,184.1802,-0.001369876,0.000109474,43.3137,0.2626,152.8121,-43.3137
30018460,50.773931628,0.777853933,132.3106,-170006.7906,319565.1672,inf,inf,inf,inf,-169997.1904,319474.5560,132.3106,-inf,-inf,-inf,-9.6002,90.6112,inf
